contract_address,chain_id,token_id,to_address,from_address,transaction_hash,block_timestamp,block_number,amount,is_mint,token_type,log_index,purchase_price
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,253,0x3f946597157380707d82b6720a3a6f92a7873263,0xe1da9e3ea9efc074ebffd4d2bed209b370705188,0x1dcb623e2d99b8c45ae02832efa50ee4f214d93be6f427ca6c309c3dde2dedee,1664464295000,15639810,1,FALSE,ERC721,291,0.16
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,85,0x89afa2763a6cdd0c26ae65ef60455781312b56f8,0x82ce5258aa5925bb5c9da07fa7996e73687a440e,0xe995bd35f77515a859bd1cabe795714a5f14b37e298bd37e4acb5091b2402dc3,1664402387000,15634680,1,FALSE,ERC721,273,0.11
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,58,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x5b2ff37b3f0469a7a3ce01ba22605fc4999f5ac8d84cd055dcd217825534569e,1665127259000,15694697,1,FALSE,ERC721,185,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,330,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x5b2ff37b3f0469a7a3ce01ba22605fc4999f5ac8d84cd055dcd217825534569e,1665127259000,15694697,1,FALSE,ERC721,184,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,65,0x0773e6cea738cba25c8d563ed7422a6337bc571e,0x0335464fb52792d7301961e491a4f92b3023039e,0x6da09a9057a10ac473bd9e20373092e95faee534bb72c8a0418e2aebc849d52a,1664315291000,15627462,1,FALSE,ERC721,369,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,63,0x0773e6cea738cba25c8d563ed7422a6337bc571e,0x0335464fb52792d7301961e491a4f92b3023039e,0xff15fc2127cd21d7ea2dcb3a1c7220e26a3e7f020db0673199ca6bb21db93963,1664315147000,15627450,1,FALSE,ERC721,226,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,199,0x059248de52d8ad545462059367df7a3f91b40607,0x61a17076f014fd248d72258bc9ccbaeba49ccd8c,0xec9f3f6390502db43d3653127d1ecf2605be43b6b8d843906b67c36aa2af44b5,1664596967000,15650797,1,FALSE,ERC721,460,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,323,0x01b4fae0b350af95d1bd8fb1341d9dce1a87a453,0x61d741b371a57554d30e2a44a946e31e6f52570f,0xddbb8ca4d5dd10613b3a2ead41f853abc91eb451ad12258de1abe0fbdf14a4c7,1664400167000,15634496,1,FALSE,ERC721,230,0.1
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,203,0x0d801699678375e43d14f67453e24f17ebbaef8a,0x7baa35903e27bb818e9a4c40b20110b710c86acb,0xdcf335322b1d1645f7d060428240fd6ec8c87be35c1f09abf43959617fc4cd0a,1667734511000,15910712,1,FALSE,ERC721,132,0.19
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,253,0x99268e5e980b78dc0b59dfc0276590abe71a1700,0x3f946597157380707d82b6720a3a6f92a7873263,0xd08517817333f8b99f9f85a710687ab54cc924f17ce2260d94e03ef7e9bdc915,1664575307000,15649006,1,FALSE,ERC721,227,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,62,0x40261ff4544be9a1b17e30c182f191d88a75a92d,0x0773e6cea738cba25c8d563ed7422a6337bc571e,0xc23fd68a4d9f828fb3a6a50ef2d2c2e1e93dc54a5d6c391b0dd9ed12213fa497,1665506687000,15726144,1,FALSE,ERC721,373,0.47
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,294,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0xfe839686ff71160b24c4478cb7c762314f262307,0x98a28dc3b29c20faddfcec15314b3e1715e9e1aac1d0a46ac230df4140ee78e9,1664498423000,15642634,1,FALSE,ERC721,137,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,225,0xd3c1b9a1959b8be13252546871d37d83100caf8d,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x83bd4a5ad10d27cd65ea27347c7f0c628c2aa89ccd4ae38f651c49f47799c627,1671865283000,16252967,1,FALSE,ERC721,121,0
